,id,authors,title,categories,abstract,versions,first_category,v1_date,LM_related_terms,mentions_LM_keyword,cluster,domains,industry,academic,above_pred_female_threshold,inferred_female_frac_nqg_uncertainty_threshold_0.100,citationCount,percentile_rank_in_3_month_window,percentile_rank_in_12_month_window,n_authors,percentile_rank_in_6_month_window
18,arXiv:1802.05365,"['Matthew E. Peters', 'Mark Neumann', 'Mohit Iyyer', 'Matt Gardner', 'Christopher Clark', 'Kenton Lee', 'Luke Zettlemoyer']",Deep contextualized word representations,['cs.CL'],"  We introduce a new type of deep contextualized word representation that
models both (1) complex characteristics of word use (e.g., syntax and
semantics), and (2) how these uses vary across linguistic contexts (i.e., to
model polysemy). Our word vectors are learned functions of the internal states
of a deep bidirectional language model (biLM), which is pre-trained on a large
text corpus. We show that these representations can be easily added to existing
models and significantly improve the state of the art across six challenging
NLP problems, including question answering, textual entailment and sentiment
analysis. We also present an analysis showing that exposing the deep internals
of the pre-trained network is crucial, allowing downstream models to mix
different types of semi-supervision signals.
","[{'version': 'v1', 'created': 'Thu, 15 Feb 2018 00:05:11 GMT'}, {'version': 'v2', 'created': 'Thu, 22 Mar 2018 21:59:40 GMT'}]",cs.CL,2018-02-15 00:05:11,['language model'],True,"Representations, Syntax, Semantics","['allenai.org', 'washington.edu']",False,True,False,0.0,9927.0,1.0,0.9940652818991098,7,1.0
20,arXiv:1802.05814,"['Dawen Liang', 'Rahul G. Krishnan', 'Matthew D. Hoffman', 'Tony Jebara']",Variational Autoencoders for Collaborative Filtering,"['stat.ML', 'cs.IR', 'cs.LG']","  We extend variational autoencoders (VAEs) to collaborative filtering for
implicit feedback. This non-linear probabilistic model enables us to go beyond
the limited modeling capacity of linear factor models which still largely
dominate collaborative filtering research.We introduce a generative model with
multinomial likelihood and use Bayesian inference for parameter estimation.
Despite widespread use in language modeling and economics, the multinomial
likelihood receives less attention in the recommender systems literature. We
introduce a different regularization parameter for the learning objective,
which proves to be crucial for achieving competitive performance. Remarkably,
there is an efficient way to tune the parameter using annealing. The resulting
model and learning algorithm has information-theoretic connections to maximum
entropy discrimination and the information bottleneck principle. Empirically,
we show that the proposed approach significantly outperforms several
state-of-the-art baselines, including two recently-proposed neural network
approaches, on several real-world datasets. We also provide extended
experiments comparing the multinomial likelihood with other commonly used
likelihood functions in the latent factor collaborative filtering literature
and show favorable results. Finally, we identify the pros and cons of employing
a principled Bayesian inference approach and characterize settings where it
provides the most significant improvements.
","[{'version': 'v1', 'created': 'Fri, 16 Feb 2018 01:41:20 GMT'}]",stat.ML,2018-02-16 01:41:20,['language model'],True,Entity Extraction & RecSys,"['netflix.com', 'mit.edu', 'google.com']",True,True,False,0.0,838.0,0.9814814814814815,0.9851632047477745,4,0.9855072463768116
49,arXiv:1803.10609,"['Jon Barker', 'Shinji Watanabe', 'Emmanuel Vincent', 'Jan Trmal']","The fifth 'CHiME' Speech Separation and Recognition Challenge: Dataset,
  task and baselines","['cs.SD', 'cs.AI', 'eess.AS']","  The CHiME challenge series aims to advance robust automatic speech
recognition (ASR) technology by promoting research at the interface of speech
and language processing, signal processing , and machine learning. This paper
introduces the 5th CHiME Challenge, which considers the task of distant
multi-microphone conversational ASR in real home environments. Speech material
was elicited using a dinner party scenario with efforts taken to capture data
that is representative of natural conversational speech and recorded by 6
Kinect microphone arrays and 4 binaural microphone pairs. The challenge
features a single-array track and a multiple-array track and, for each track,
distinct rankings will be produced for systems focusing on robustness with
respect to distant-microphone capture vs. systems attempting to address all
aspects of the task including conversational language modeling. We discuss the
rationale for the challenge and provide a detailed description of the data
collection procedure, the task, and the baseline systems for array
synchronization, speech enhancement, and conventional and end-to-end ASR.
","[{'version': 'v1', 'created': 'Wed, 28 Mar 2018 13:51:09 GMT'}]",cs.SD,2018-03-28 13:51:09,['language model'],True,Speech Recognition,"['sheffield.ac.uk', 'jhu.edu', 'inria.fr']",False,True,False,0.0,817.0,0.9629629629629629,0.9821958456973294,4,0.9782608695652174
5,arXiv:1801.07736,"['William Fedus', 'Ian Goodfellow', 'Andrew M. Dai']",MaskGAN: Better Text Generation via Filling in the______,"['stat.ML', 'cs.AI', 'cs.LG']","  Neural text generation models are often autoregressive language models or
seq2seq models. These models generate text by sampling words sequentially, with
each word conditioned on the previous word, and are state-of-the-art for
several machine translation and summarization benchmarks. These benchmarks are
often defined by validation perplexity even though this is not a direct measure
of the quality of the generated text. Additionally, these models are typically
trained via maxi- mum likelihood and teacher forcing. These methods are
well-suited to optimizing perplexity but can result in poor sample quality
since generating text requires conditioning on sequences of words that may have
never been observed at training time. We propose to improve sample quality
using Generative Adversarial Networks (GANs), which explicitly train the
generator to produce high quality samples and have shown a lot of success in
image generation. GANs were originally designed to output differentiable
values, so discrete language generation is challenging for them. We claim that
validation perplexity alone is not indicative of the quality of text generated
by a model. We introduce an actor-critic conditional GAN that fills in missing
text conditioned on the surrounding context. We show qualitatively and
quantitatively, evidence that this produces more realistic conditional and
unconditional text samples compared to a maximum likelihood trained model.
","[{'version': 'v1', 'created': 'Tue, 23 Jan 2018 19:22:21 GMT'}, {'version': 'v2', 'created': 'Wed, 28 Feb 2018 16:26:04 GMT'}, {'version': 'v3', 'created': 'Thu, 1 Mar 2018 15:30:09 GMT'}]",stat.ML,2018-01-23 19:22:21,['language model'],True,Text Generation,['google.com'],True,False,False,0.0,430.0,0.9444444444444444,0.9584569732937686,3,0.9420289855072463
53,arXiv:1803.11138,"['Kristina Gulordava', 'Piotr Bojanowski', 'Edouard Grave', 'Tal Linzen', 'Marco Baroni']",Colorless green recurrent networks dream hierarchically,['cs.CL'],"  Recurrent neural networks (RNNs) have achieved impressive results in a
variety of linguistic processing tasks, suggesting that they can induce
non-trivial properties of language. We investigate here to what extent RNNs
learn to track abstract hierarchical syntactic structure. We test whether RNNs
trained with a generic language modeling objective in four languages (Italian,
English, Hebrew, Russian) can predict long-distance number agreement in various
constructions. We include in our evaluation nonsensical sentences where RNNs
cannot rely on semantic or lexical cues (""The colorless green ideas I ate with
the chair sleep furiously""), and, for Italian, we compare model performance to
human intuitions. Our language-model-trained RNNs make reliable predictions
about long-distance agreement, and do not lag much behind human performance. We
thus bring support to the hypothesis that RNNs are not just shallow-pattern
extractors, but they also acquire deeper grammatical competence.
","[{'version': 'v1', 'created': 'Thu, 29 Mar 2018 16:27:36 GMT'}]",cs.CL,2018-03-29 16:27:36,['language model'],True,"Representations, Syntax, Semantics","['jhu.edu', 'unige.ch', 'fb.com']",True,True,False,0.25,416.0,0.9259259259259259,0.9554896142433235,5,0.9347826086956522
133,arXiv:1806.09055,"['Hanxiao Liu', 'Karen Simonyan', 'Yiming Yang']",DARTS: Differentiable Architecture Search,"['cs.LG', 'cs.CL', 'cs.CV', 'stat.ML']","  This paper addresses the scalability challenge of architecture search by
formulating the task in a differentiable manner. Unlike conventional approaches
of applying evolution or reinforcement learning over a discrete and
non-differentiable search space, our method is based on the continuous
relaxation of the architecture representation, allowing efficient search of the
architecture using gradient descent. Extensive experiments on CIFAR-10,
ImageNet, Penn Treebank and WikiText-2 show that our algorithm excels in
discovering high-performance convolutional architectures for image
classification and recurrent architectures for language modeling, while being
orders of magnitude faster than state-of-the-art non-differentiable techniques.
Our implementation has been made publicly available to facilitate further
research on efficient architecture search algorithms.
","[{'version': 'v1', 'created': 'Sun, 24 Jun 2018 00:06:13 GMT'}, {'version': 'v2', 'created': 'Tue, 23 Apr 2019 06:29:32 GMT'}]",cs.LG,2018-06-24 00:06:13,['language model'],True,Efficiency & Performance,"['cmu.edu', 'google.com']",True,True,True,1.0,3245.0,1.0,0.9910979228486647,3,0.9927536231884058
73,arXiv:1804.10959,['Taku Kudo'],"Subword Regularization: Improving Neural Network Translation Models with
  Multiple Subword Candidates",['cs.CL'],"  Subword units are an effective way to alleviate the open vocabulary problems
in neural machine translation (NMT). While sentences are usually converted into
unique subword sequences, subword segmentation is potentially ambiguous and
multiple segmentations are possible even with the same vocabulary. The question
addressed in this paper is whether it is possible to harness the segmentation
ambiguity as a noise to improve the robustness of NMT. We present a simple
regularization method, subword regularization, which trains the model with
multiple subword segmentations probabilistically sampled during training. In
addition, for better subword sampling, we propose a new subword segmentation
algorithm based on a unigram language model. We experiment with multiple
corpora and report consistent improvements especially on low resource and
out-of-domain settings.
","[{'version': 'v1', 'created': 'Sun, 29 Apr 2018 16:13:44 GMT'}]",cs.CL,2018-04-29 16:13:44,['language model'],True,"Representations, Syntax, Semantics",['google.com'],True,False,False,0.0,811.0,0.9880952380952381,0.9792284866468842,1,0.9710144927536232
85,arXiv:1805.04770,"['Tommaso Furlanello', 'Zachary C. Lipton', 'Michael Tschannen', 'Laurent Itti', 'Anima Anandkumar']",Born Again Neural Networks,"['stat.ML', 'cs.AI', 'cs.LG']","  Knowledge distillation (KD) consists of transferring knowledge from one
machine learning model (the teacher}) to another (the student). Commonly, the
teacher is a high-capacity model with formidable performance, while the student
is more compact. By transferring knowledge, one hopes to benefit from the
student's compactness. %we desire a compact model with performance close to the
teacher's. We study KD from a new perspective: rather than compressing models,
we train students parameterized identically to their teachers. Surprisingly,
these {Born-Again Networks (BANs), outperform their teachers significantly,
both on computer vision and language modeling tasks. Our experiments with BANs
based on DenseNets demonstrate state-of-the-art performance on the CIFAR-10
(3.5%) and CIFAR-100 (15.5%) datasets, by validation error. Additional
experiments explore two distillation objectives: (i) Confidence-Weighted by
Teacher Max (CWTM) and (ii) Dark Knowledge with Permuted Predictions (DKPP).
Both methods elucidate the essential components of KD, demonstrating a role of
the teacher outputs on both predicted and non-predicted classes. We present
experiments with students of various capacities, focusing on the under-explored
case where students overpower teachers. Our experiments show significant
advantages from transferring knowledge between DenseNets and ResNets in either
direction.
","[{'version': 'v1', 'created': 'Sat, 12 May 2018 19:48:50 GMT'}, {'version': 'v2', 'created': 'Fri, 29 Jun 2018 10:46:28 GMT'}]",stat.ML,2018-05-12 19:48:50,['language model'],True,Knowledge Distillation,['usc.edu'],False,True,False,0.2,774.0,0.9761904761904762,0.9762611275964391,5,0.9637681159420289
62,arXiv:1804.07755,"['Guillaume Lample', 'Myle Ott', 'Alexis Conneau', 'Ludovic Denoyer', ""Marc'Aurelio Ranzato""]",Phrase-Based & Neural Unsupervised Machine Translation,['cs.CL'],"  Machine translation systems achieve near human-level performance on some
languages, yet their effectiveness strongly relies on the availability of large
amounts of parallel sentences, which hinders their applicability to the
majority of language pairs. This work investigates how to learn to translate
when having access to only large monolingual corpora in each language. We
propose two model variants, a neural and a phrase-based model. Both versions
leverage a careful initialization of the parameters, the denoising effect of
language models and automatic generation of parallel data by iterative
back-translation. These models are significantly better than methods from the
literature, while being simpler and having fewer hyper-parameters. On the
widely used WMT'14 English-French and WMT'16 German-English benchmarks, our
models respectively obtain 28.1 and 25.2 BLEU points without using a single
parallel sentence, outperforming the state of the art by more than 11 BLEU
points. On low-resource languages like English-Urdu and English-Romanian, our
methods achieve even better results than semi-supervised and supervised
approaches leveraging the paucity of available bitexts. Our code for NMT and
PBSMT is publicly available.
","[{'version': 'v1', 'created': 'Fri, 20 Apr 2018 17:59:13 GMT'}, {'version': 'v2', 'created': 'Mon, 13 Aug 2018 22:50:37 GMT'}]",cs.CL,2018-04-20 17:59:13,['language model'],True,Translation & Low-Resource Languages,"['lip6.fr', 'fb.com']",True,False,False,0.0,614.0,0.9642857142857143,0.9703264094955489,5,0.9565217391304348
90,arXiv:1805.06201,['Sosuke Kobayashi'],"Contextual Augmentation: Data Augmentation by Words with Paradigmatic
  Relations","['cs.CL', 'cs.LG']","  We propose a novel data augmentation for labeled sentences called contextual
augmentation. We assume an invariance that sentences are natural even if the
words in the sentences are replaced with other words with paradigmatic
relations. We stochastically replace words with other words that are predicted
by a bi-directional language model at the word positions. Words predicted
according to a context are numerous but appropriate for the augmentation of the
original words. Furthermore, we retrofit a language model with a
label-conditional architecture, which allows the model to augment sentences
without breaking the label-compatibility. Through the experiments for six
various different text classification tasks, we demonstrate that the proposed
method improves classifiers based on the convolutional or recurrent neural
networks.
","[{'version': 'v1', 'created': 'Wed, 16 May 2018 09:10:21 GMT'}]",cs.CL,2018-05-16 09:10:21,['language model'],True,"Representations, Syntax, Semantics",['preferred.jp'],False,False,False,0.0,462.0,0.9523809523809523,0.9614243323442137,1,0.9492753623188406
